Label,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Croatia, females",-,-,-,-,-,-,-,-,-,-,6523,6906,7143,6167,6500,6959,6992,7570,7535,7904,7711,10156,9325,9149,9099,9232,9243,9764,9619,10077,9845,10323,10349,10336,10348,-
"Czechia, females",-,-,-,-,-,15538,15697,15651,16192,17113,17020,17879,17540,18613,19375,20147,20671,20786,21183,21155,21796,22120,22132,22309,23022,23597,24010,24093,24381,25613,25530,25301,25892,26171,25921,26414
"Denmark, females",10305,10011,10398,10619,10772,11503,10991,11203,11260,11765,12022,11926,11848,12226,12648,12509,12846,12666,12792,13110,13610,13727,13743,14000,14215,14135,14752,15082,15873,15770,16991,18061,17469,17701,17555,17982
"Ecuador, females*",-,-,-,-,-,-,-,678,683,673,704,758,689,775,863,853,886,860,852,967,1010,907,1047,1043,1128,1155,1251,1492,1378,1469,1421,1474,1643,1841,1992,-
"Estonia, females",1913,1872,1898,1867,1941,1961,2097,2103,2152,2112,2218,2239,2289,2309,2300,2433,2435,2446,2611,2599,2663,2668,2721,2771,2683,2780,2930,2790,3019,2994,3125,2999,3161,3294,3265,-
"France, females*",-,-,-,-,-,-,-,-,-,-,7584,8005,8185,8374,8574,8680,9053,9248,9329,10054,10137,10533,10803,11167,11421,11711,12390,12615,12555,12817,13483,13506,13972,14407,11681,-
"Germany, females*",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7409,7361,7266,7188,7731,7067,7421,7529,7565,7839,8171,8555,8443,8347,8049,-
"Iceland, females",290,318,318,360,354,338,350,366,381,420,420,409,396,382,446,434,465,525,447,512,515,548,551,558,571,542,627,633,635,631,676,699,675,745,721,685
"India, females*",-,-,-,-,-,1434,1444,1539,1674,1691,1624,1692,1716,1694,1680,1740,1737,1778,1863,1965,2018,2069,2083,2210,2157,2257,2405,2502,2611,2618,2625,2780,2898,2908,2978,-
"Australia, females",-,-,-,-,21934,22576,23631,24428,25070,26589,27027,27783,28693,30438,31212,32162,33945,35078,35180,36487,37455,38013,39705,40700,42050,41765,43355,44549,45306,46257,48133,49207,50753,51736,54031,55725
"Ireland, females",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5841,5720,5958,6139,6167,6304,6653,6710,7208,7288,7470,7499,7735,8107,8685,8963,9123,9373,9527,-
"Israel, females",3621,3704,3943,3985,4236,4087,4627,4644,4695,4765,5180,5646,6819,7218,7585,8124,8188,8862,9102,9388,10164,10367,10559,11035,10996,11178,11058,11691,11856,12282,12582,12607,12963,12926,13334,-
"Italy, females*",-,-,-,-,-,-,-,-,-,-,3569,4166,4210,4543,4806,5415,5560,5764,6077,6312,6571,6598,6781,6868,6901,7358,7503,7729,8015,7917,8365,8439,8452,8410,8353,-
"Japan, females*",-,-,-,-,-,-,-,-,-,-,15872,16557,16981,16989,17318,17985,18976,19477,19944,20389,21283,21869,22605,23003,23399,24443,25134,26521,28419,30098,29659,31365,33022,-,-,-
"Republic of Korea, females",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20598,20044,22502,23800,25344,27253,30130,32203,35823,39736,43361,46591,49925,51686,-
"Kuwait: Kuwaiti, females",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,274,296,339,345,391,394,371,463,444,459,512,574,636,609,683,-
"Latvia, females",-,-,-,-,-,2932,3102,3252,3158,3454,3407,3245,3488,3411,3569,3357,3651,3734,3911,3996,4226,4194,4045,4078,4207,4158,4538,4440,4635,4787,4503,4618,4938,5220,5052,-
"Lithuania, females",3128,3589,3698,3632,3751,3984,3978,3734,4182,3991,4127,3966,4216,4367,4460,5184,5164,5340,5567,5741,5908,6204,6046,6209,6170,6642,6635,6615,6611,6681,7209,7053,7257,7230,7314,-
"Malta, females",-,-,-,-,-,-,-,-,-,-,-,-,-,-,531,509,543,565,526,603,616,659,650,623,620,611,670,731,747,736,795,858,900,989,939,926
"The Netherlands, females",-,-,-,-,-,-,-,-,-,-,-,25033,25899,26543,28092,28318,29380,29076,29775,30342,31041,32173,32510,33381,34058,35152,36363,37084,38119,39273,40744,41358,42288,43987,44155,43250
"New Zealand, females",-,-,-,-,-,5061,5260,5221,5371,5682,6128,6282,6207,6458,6306,6402,7199,7308,7382,7468,7686,7859,8209,8261,8462,8626,8738,8716,8869,9150,9685,9613,10066,9890,10345,-
"Norway, females",6743,6817,7087,6908,7297,7487,7557,7641,7878,7683,7902,8187,8397,8491,8694,8929,8910,9303,9546,9745,9746,9765,10250,10393,10864,10872,11277,11416,11621,11663,11833,12115,12453,12895,12812,13187
"Poland, females*",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1711,2078,2231,2128,2132,2017,2001,2018,2106,2039,2027,2221,2140,2306,2235,-
"Slovakia, females",5104,5263,5227,5392,5498,5731,5920,6031,6168,6409,6551,6605,6593,6890,7385,7451,7349,7581,7692,7902,8151,8095,8312,8358,8811,9215,9580,9674,9938,10269,11077,11624,11504,-,-,-
"Slovenia, females",2160,2114,2330,2251,2180,2283,2367,2436,2634,2672,2631,2759,2847,2957,3113,3184,3186,3313,3455,3695,3713,3746,3821,3920,4069,4179,4356,4459,4361,4602,4620,4596,4923,4672,4803,-
"Spain, females*",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10706,11004,11347,11536,12195,12530,12925,13335,13432,14151,14302,14896,15056,15265,16019,16717,17304,17337,-,-,-
"Sweden, females",15732,16469,16256,16359,16658,17139,17206,17372,17687,18338,18180,18348,19125,18623,18738,18929,19231,19268,19522,19362,19698,20023,20274,20600,20854,21145,21455,21487,21514,22000,22299,22866,23434,24070,24088,24743
"Switzerland, females*",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4840,5021,5171,5198,5297,5356,5499,5477,5661,5722,5838,6040,6086,6368,6275,-
"Brazil, females*",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,656,664,748,714,786,835,935,1045,994,1228,1145,1237,1224,1349,1396,1338,1404,1388,1373,1501,-
"Thailand, females*",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3019,3039,3056,3104,3196,3380,3489,3814,3900,4054,4040,4104,4040,4180,4447,4626,4615,4753,5004,5049,-
"Turkey, females*",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2350,2476,2964,3185,3536,3742,4190,4438,4835,5127,5621,5842,5735,6143,6383,-
"Uganda, females*",-,-,-,-,-,-,-,-,-,-,-,-,-,342,318,379,416,448,427,502,502,478,582,551,592,649,749,784,841,862,828,816,847,886,1046,979
"Ukraine, females",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71060,71905,72896,72356,72989,73309,72672,75802,77229,78487,74810
"UK, England and Wales , females*",78482,79844,83044,85406,86092,87524,87924,94353,92759,95794,98114,99422,99836,102303,105133,103354,104583,103984,105047,109121,109054,111435,111865,112949,111333,114729,115133,118015,120785,122019,125728,128821,130674,133687,136550,139938
"UK, Scotland, females",9692,9632,10158,10311,10471,10582,10933,10902,10923,11301,11361,11462,12224,12054,12412,12591,12737,12843,13627,13308,13060,13192,13386,13216,13394,13598,13988,13944,14074,14755,15051,15332,15473,15572,15954,15943
"UK, Northern Ireland , females",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3200,3130,3178,3254,3292,3300,3309,3380,3290,3465,3552,3615,3611,3671,3859,4026,4050,4055,4281,4425,4449
"USA, females*",47667,48730,49805,51751,52644,54174,56081,58472,58912,61654,61952,62170,63725,64906,65608,65939,67007,68366,69752,72213,74025,74725,74257,75980,77098,76048,77458,78798,79373,80713,82628,84733,84406,85685,86816,87625
"USA: White, females*",42569,43239,44155,45809,46464,47587,49082,51012,51049,53513,53353,53573,54443,55377,55517,55498,56193,57310,58078,60016,61326,61675,61191,62296,62615,61736,62208,63284,63558,64126,65342,66625,66099,66700,67289,67709
"USA: Black, females*",3497,3737,3878,3991,4086,4474,4627,4804,4953,5057,5324,5228,5624,5676,5812,5976,6157,6153,6461,6606,6824,6973,6908,6954,7397,7410,7804,7897,7985,8180,8300,8770,8708,9129,9244,9152
